,threshold,n_itemsets,apriori,fp-growth,eclat,naive
0,0.03,16,5.231887578964233,17.803449392318726,51.37099266052246,33.533955335617065
1,0.02,39,15.06704044342041,25.365872859954838,54.43996334075928,32.14991569519043
2,0.01,116,47.4579861164093,37.38580203056336,62.542033195495605,49.39015555381775
3,0.009,138,83.14937448501587,39.04957318305969,60.50371193885803,54.25020122528076
4,0.007,195,,44.83216953277588,70.38364958763123,71.76927042007446
5,0.005,326,,59.65971517562866,83.58565831184387,104.70921969413756
6,0.003,787,,83.65700650215149,125.84619736671448,226.6833655834198
7,0.001,3883,,158.39256978034973,361.816962480545,
