,initial_log_likelihood,final_log_likelihood,hold_edges_log_loss,adjacency_graph_log_loss
256,51884497.94335494,263732.72541579115,0.39141207581655346,0.13766090831626768
128,25993427.14317383,281074.94708965055,0.3811378712720185,0.14746307412178883
64,12956265.546639321,291160.21464728116,0.37375945387201587,0.15194359286696796
32,6493065.105008202,316664.69125159015,0.39840007003382877,0.17605635452245746
16,3290313.4052666808,324032.10332819686,0.4068244813946108,0.1819919522045011
8,1716282.2924150778,352798.6638769439,0.4470319874539308,0.21261714006402394
4,1048042.2213015072,379488.31960492156,0.48243890030571923,0.24455130082520715
